Report,description
Jurgen Klopp: Liverpool manager has no plans to quit 'unless someone tells me',"Liverpool manager Jurgen Klopp says he will not leave the club unless he is forced to, and hints at changes at Anfield during the summer."
UK weather: Spring snow as parts of country hit by cold snap,"""Spring is on hold,"" says BBC Weather, in a sharp change to last week which saw highs of 20C."
Ukraine war: Flight ban hits Russian foreign minister's visit to Serbia,"Balkan countries deny Sergei Lavrov's plane use of their airspace, scuppering his Serbia visit."
Euro 2022: Beth Mead's goal gives England winning start against Austria,Watch highlights as England beat Austria in the opening match of the European Women's Championship.
"Premier League: Chelsea-Liverpool, Man Utd-Leeds & Brighton-Palace off before Queen's funeral",Chelsea's home game with Liverpool and Leeds United's trip to Manchester United have been postponed this weekend because of the funeral of Queen Elizabeth II.
Latest UK weather forecast: Extreme heat to continue through weekend,Extreme temperatures could have an impact on health and transport.
Mariupol: Satellite images suggest mass graves dug near besieged city,"Satellite images appear to show more than 200 graves, as Ukraine accuses Russia of mass killings."
When will we know the results?,Officials have called on voters to be patient as the results of the 8 November midterm are certified.
Four takeaways from this year's GCSE results,"Just like A-level students, these pupils experienced months of disruption during formative years."
British Gas owner Centrica and Shell see profits soar as bills rise,"British Gas owner Centrica and Shell report huge profits, as UK households face even higher energy bills."
World Cup 2022: England boss Gareth Southgate looking forward to 'acid test' against France,"England manager Gareth Southgate praised his side's ""ruthless"" display against Senegal that sets up an ""acid test"" game against defending champions France in the World Cup quarter-finals."
Mesut Ozil: Five great Arsenal moments as ex-Real Madrid & Germany midfielder retires,"Watch five of Mesut Ozil's best moments for Arsenal as the former Real Madrid, Fenerbahce and Germany midfielder retires at 34."
Marcus North pulls out of running to be England managing director of men's cricket,Former Australia batter Marcus North pulls out of the running to be England's new managing director of men's cricket for family reasons.
Quiz of the week: Which cheese was in the news?,How closely have you been paying attention to what's been going on over the past seven days?
Week in pictures: 30 April - 6 May 2022,"A selection of powerful images from all over the globe, taken in the past seven days."
Man City v Liverpool: Premier League's top two meet at Etihad Stadium,The best two teams in England are preparing to meet on Sunday with just one point separating leaders Manchester City and second-placed Liverpool with eight games to go.
US midterms: When will we know the election results?,Officials have called on voters to be patient as the results of the 8 November midterm are certified.
NI secretary to meet Stormont political leaders ,"The secretary of state says Northern Ireland needs ""a stable and accountable government""."
How many people cross the Channel in small boats and where do they come from?,The number of people claiming asylum in the UK rose sharply in 2022.
The Papers: 'A new Iron Curtain' and '100m for the Royals?',More Nato troops in eastern Europe and a £15m rise in the Royal Family's grant feature in the papers.
Grenfell Tower fire: How music helps young people cope,Kids on the Green was originally set up for young people as an emergency response to the 2017 disaster.
Newspaper headlines: 'Ambulance strike threatens lives' and 'call a taxi',Strikes by ambulance service workers and nurses dominate the front pages on Tuesday.
Liz Truss: What sort of prime minister will she be?,"Will Liz Truss be a pragmatist in Downing Street, or will she govern as a lady not for turning"
Why are these Americans turning in (some of) their guns?,"When police in Texas offered to buy back unwanted firearms, gun owners of all kinds showed up."
British Grand Prix: George Russell says Formula 1 needs to learn from Zhou Guanyu crash,George Russell says Formula 1 needs to learn lessons from the crash in which Zhou Guanyu's Alfa Romeo vaulted a barrier at Silverstone.
Public sector pay: Millions of workers await deal decision,"NHS staff, teachers, police and the armed forces are to find out details of this year's wage rise."
Chris Hipkins: Uphill battle looms for New Zealand's next PM,"The Labour party's popularity has slumped, but Jacinda Ardern is still a hard act to follow."
Scans reveal how Covid may change the brain,"Even after a mild infection, the overall size of the brain had shrunk, researchers found."
Hydra: How German police dismantled Russian darknet site,German police say illegal sales on the site amounted to at least £1bn a year
New chatbot has everyone talking to it,Open AI's ChatGPT generates convincing human-like answers in response to human prompts.
Call for extra bank holiday to be made permanent,Dragons' Den star Deborah Meaden is among business leaders who signed an open letter to ministers.
World Cup 2022: Iran performance 'won't be enough' v USA - Gareth Southgate,"Gareth Southgate tells Kelly Somers that England must raise their level further against the USA - and says certain decisions going against England are ""a concern""."
"Disabled fans treated like animals, hearing told",Liverpool supporters accuse the French interior minister of lying about the behaviour of English fans.
Ambulance waits: 'Can you please tell them to hurry up or I shall be dead',"As the health safety watchdog warns on ambulance delays, the BBC investigates the case of 94-year-old Ken Shadbolt."
Commonwealth Games takes big step towards esports,"Competitive gaming may soon be added to the Commonwealth Games programme, after a successful test event in Birmingham."
England show the game is about glory in remarkable Test summer,"England won six of seven Tests this summer - but the glorious way they played the game was even more important, says chief cricket writer Stephan Shemilt."
Sky walkway proposal for Edinburgh's Radical Road,It is one of the options being considered to tackle rock falls at the historic path in Edinburgh.
Bavaria train crash: At least four killed in German rail accident,At least four people die and some 30 are injured after a train derails in the state of Bavaria.
Secondary school places: When do parents find out?,Councils will soon be offering secondary school places to children in England and Wales.
World Cup 2022: England 'step up' in Wales win and show frightening depth of Gareth Southgate's squad,Superb performances from Marcus Rashford and Phil Foden against Wales will give Gareth Southgate a selection headache for England.
"The trip that transformed Australia and China ties, five decades on","Australia's first ambassador to China recounts a fascinating, high-stakes visit - and his unlikely place in it."
Why a fall in the pound matters,Sterling fell to a record low after the UK government announced large tax cuts and borrowing.
T20 World Cup: England coach Matthew Mott says side will not make widespread changes,"England will not ""throw the baby out with the bathwater"" in their crucial T20 World Cup match against Australia on Friday, says coach Matthew Mott."
Bristol Zoo memories as 'major part' of city's life closes,"Bristol Zoo, known for its international conservation work, is closing after 186 years."
Flu and Covid could make this a hard winter for UK,"People should prepare for a rampant flu season, say experts, based on what Australia has experienced."
Turkey threatens to block Finland and Sweden Nato bids,Turkish President Erdogan accused the Nordic nations of harbouring terrorists wanted by Ankara.
Epsom College deaths: Family tribute to head teacher and daughter,Emma Pattison and Lettie are believed to have been shot by George Pattison before he killed himself.
Liverpool 0-1 Real Madrid: Reds beaten in Paris as Vinicius Jr hits winner,Liverpool's hopes of being crowned champions of Europe for a seventh time ends in heartbreak at the hands of Real Madrid in Paris.
How much could your mortgage rise? Try our calculator,Use our calculator to find out how much mortgage payments could go up for your household.
Grieving Russians can't believe talk of war crimes in Ukraine,"""They'll accuse Russia of anything,"" says the widow of a Russian soldier killed in Ukraine."
Mohamed Salah: Liverpool forward will be at Anfield next season 'for sure',"Liverpool forward Mohamed Salah says he will be at Anfield next season ""for sure"" but does not confirm if he will sign a new deal."
Leader of US far-right militia guilty of inciting rebellion,"Founder Stewart Rhodes and one other member, Kelly Meggs, were both found guilty on the rare charge."
Taliban officials must sack sons given government jobs,Afghanistan's Islamist leader says officials should replace appointed sons or nephews and hire other workers.
Andrew Tate: See luxury villa where brothers are under house arrest,The BBC's Lucy Williamson looks at the compound where Andrew Tate and brother Tristan are confined.
"Kourtney Kardashian's Lemme vagina gummies? Don't bother, say experts",Doctors have doubts about the vitamin sweets being advertised on Instagram by Kourtney Kardashian.
Nato veto lifted and more false claims - today's Ukraine round-up,Finland and Sweden to join the alliance as footage shows civilians running for their lives.
Mortgages: What happens if I miss a payment?,Homeowners are worried about higher mortgage costs - but lenders must help those struggling.
Virat Kohli's Adelaide record could be bad news for England in T20 World Cup semi-final,Former India captain Virat Kohli is going under the radar but his record in Adelaide shows England should fear him as much as ever.
"Euro 2024 qualifiers: Marcus Rashford, Mason Mount and Nick Pope withdraw from England squad","Manchester United striker Marcus Rashford, Chelsea midfielder Mason Mount and Newcastle goalkeeper Nick Pope withdraw from the England squad through injury."
Rugby World Cup: England's Marlie Packer will lead much-changed side,Flanker Marlie Packer will captain an almost entirely changed England XV in the side's final Rugby World Cup pool game against South Africa on Saturday.
"Eurovision 2022: Ukraine wins, while the UK's Sam Ryder comes second","Ukraine's Kalush Orchestra triumphs, while Sam Ryder gives the UK its best result since 1998."
Priti Patel and Nadine Dorries to step down ahead of new PM,Home Secretary Priti Patel and Culture Secretary Nadine Dorries will leave the cabinet.
Ukraine crisis: The West fights back against Putin the disruptor,Several US presidents have failed to get the measure of him but now Europe has joined the fray things may change.
How do sea turtles navigate?,It's one of the greatest mysteries in the animal kingdom - how do sea turtles navigate?
Boris Johnson clashes with MPs over Partygate denials,The former PM repeatedly insists he did not deliberately lie to Parliament in a marathon grilling.
Russian oligarch lambasts country's 'massacre',Businessman Oleg Tinkov is one of the most high profile Russians to publicly condemn the war.
Mariupol theatre: 'We knew something terrible would happen',A woman who left Mariupol's theatre a day before the bombing says Russia had been targeting the area.
'We haven't had a single penny from the Post Office',"Three years after winning in the High Court, hundreds of sub-postmasters are still waiting for compensation."
'I've more to achieve' - Sterling signs for Chelsea,Chelsea confirm the signing of England forward Raheem Sterling from Manchester City in a £50m deal.
Knaresborough litter-pick pair's car trip with live WWI bomb,"The couple originally thought the device, found in the river in Knaresborough, was a gas cannister."
Gareth Southgate: England boss welcomes Germany's decision to take a knee in Nations League,England manager Gareth Southgate welcomes Germany's decision to take a knee in solidarity ahead of Tuesday's Nations League match in Munich.
Pug health so poor it 'can't be considered a typical dog' - study,New research has revealed the health of pugs is now different and largely worse than other dogs.
Why you may have a thinking digital twin within a decade,Within 10 years people may be able to have a intelligent online version of themselves.
Cost of living: 'We've only got 30p left on our prepayment meter',"A mother says having a prepayment meter installed has made her situation ""exponentially worse""."
Ukraine war: Kyiv rejects Putin's 'trivial' Christmas truce,"Putin orders a 36-hour Orthodox Christmas ceasefire, which Ukraine says is mere propaganda."
Notting Hill Carnival: Rapper Takayo Nembhard stabbed to death,"Takayo Nembhard, also known as TKorStretch, was fatally stabbed at Carnival in west London."
Energy websites crash in meter readings rush,"British Gas, E.On and EDF are among the suppliers affected, ahead of a price rise on Friday."
Gianluigi Lentini: The rise and fall of the world's most expensive player,"A spectacular untamed talent, Gianluigi Lentini became the most expensive player in the world in 1992. But lust, luck and a determination to live life to his own rules derailed his top-level career."
Top chefs' tips: Cooking for Christmas on a budget,Three professionals talk turkeys and share top tips on how to keep costs and stress levels down.
Mr Doodle: Why I covered my entire house with doodles,"Artist Sam Cox, known as Mr Doodle, is living his childhood dream in a house he's adorned with his own art."
Booker Prize 2022: Sri Lankan author Shehan Karunatilaka wins with supernatural satire,"The prestigious book prize is won by Shehan Karunatilaka, for his novel The Seven Moons of Maali."
Aaron Carter: Backstreet Boys star leads tributes to late brother,"Backstreet Boys star Nick Carter blames ""addiction and mental illness"" for the death of his sibling."
The dazzling crown which sat on the Queen’s coffin,What’s the story behind the most iconic item in the Crown Jewels?
‘A fantasy’ - amateur jockey’s Grand National fairytale,Grand National-winning jockey Sam Waley-Cohen pays tribute to his brother after 'fantasy' triumph in his last-ever ride.
"UK falling behind in net zero race, review finds","A review by a Tory MP, seen by the BBC, criticises ""inconsistent policy"" calls for a ""new approach""."
Formula milk: Online groups hunt for baby milk during US shortage,A shortage of infant formula across America has led parents to share supply locations online.
Tory leadership ballots delayed over security fears,Conservative members are receiving their voting papers later than planned over security concerns.
Man found buried in garden died from stab wound to neck,A post-mortem examination was carried out on the remains of 42-year-old Nicholas Billingham.
Why I kept my sexuality a secret at work,An aircraft engineer explains how he ditched his 'double-life' at work and created an LGBT+ network.
Kuenssberg: Who needs to 'step up' to keep kids safe online?,"As actress Kate Winslet says more can be done to protect children, is the Online Safety Bill enough, asks Laura Kuenssberg?"
"Why is Elon Musk spending his time on Twitter, not on the mission to Mars?","Friends and colleagues say his plans may be hard to predict, but they wouldn't bet against him."
What to do with 18 shipping containers of rotting cabbages,The cargo salvage industry has a key role in global trade by dealing with unwanted containers.
Patrick Lyoya: Could rethink of US police traffic stops save lives?,The death of a black man in Michigan after a traffic stop raises questions about police use of force.
South Korea and Japan: A milestone meeting of frenemies,BBC correspondents explain why historic rivals are trying to rebuild trust - and who stands to gain.
Have we found the 'animal origin' of Covid?,"Genetic data released by China three years after it was gathered has provided 'the best evidence' of how the pandemic started, scientists say."
Can I get a Cold Weather Payment and how much are they?,Cold Weather Payments are available to some owing to a run of sub-zero temperatures.
Ukraine war: Germany's conundrum over its ties with Russia,Berlin now has some hard decisions to make following years of dialogue and co-operation with Moscow.
"Are you in business?, Rishi Sunak asks homeless man during shelter visit",The prime minister has been criticised by some Labour MPs after his chat with homeless man goes viral online.
The Papers: 'They think it's all sober' and PM's fears for women,Saturday's front pages cover the last-minute decision to stop alcohol being sold at World Cup stadiums.
Queen's funeral plans: What will happen on the day,Here's what we know about events on the day of the Queen's state funeral.
Turkey: Huge rally for opposition's Canan Kaftancioglu,Canan Kaftancioglu has been convicted for insulting President Erdogan and the Turkish state.
Schengen: No EU border-free zone for Romania and Bulgaria,"EU ministers vote to admit Croatia to the Schengen zone, but Romania and Bulgaria must wait."
Residents turn against Putin in liberated Lyman,"Ukrainian civilians are returning to Lyman, close to the front line, despite the threat of strikes."
Talking therapy: How ice cream is helping people discuss difficult topics,Artist Annie Nicholson's work has centred around grief since she lost family members in a tragic accident.
"Harry Kane: Tottenham captain subbed off suffering from fatigue, says Antonio Conte","Harry Kane was replaced after an hour of Tottenham's EFL Cup defeat to Nottingham Forest as he was tired, says Antonio Conte."
How Brazil's election campaign turned ugly,"From disputed polls to ""conspirituality"", Brazil's presidential run-off has split society."
LS Lowry's Going To The Match sells for £7.8m at auction,"The sale of the artwork, described as an ""iconic masterpiece"", means it will remain on public display."
World Cup 2022: Watch a different view of Jude Bellingham's brilliant display for England against Senegal,Watch a different view of Jude Bellingham's game-changing performance for England as he played a key role in their opening two goals against Senegal.
The puzzle of UK’s half a million missing workers,The number out of work through ill health has been rising sharply - and no-one is really sure why.
Scottish bakery Morton's Rolls 'ceases trading',Companies House said it could strike off the bakery after it missed a deadline to file accounts.
Commonwealth Games: Geraint Thomas takes time trial bronze as Fred Wright and Anna Henderson win silver,"Geraint Thomas says the Commonwealth Games cycling time trial was ""not as organised as we're used to"" after he recovers from an early crash to take bronze."
Baby sticky tape skin test can predict eczema risk,"Scientists say they can predict which youngsters might get the dry, itchy skin condition."
P&O Ferries preparing to restart Dover-Calais route,"The firm hopes to get its Pride of Kent and Spirit of Britain ships back in action, subject to inspection."
Australia floods: 'I'm angry it's happening again',"Australians are reeling from one of their worst natural disasters, but many despair at a sense of déjà vu."
"Irmgard Furchner: Nazi typist guilty of complicity in 10,500 murders","Irmgard Furchner, 97, who worked for a Nazi commandant, is convicted in Germany."
John Motson reminisces about his career as a football commentator,John Motson talks to Dan Walker and Mark Lawrenson about his long career as a football commentator.
Josh Warrington knocks out Kiko Martinez to regain IBF featherweight title - highlights,Watch the highlights as Josh Warrington earns a brilliant technical knockout against Spain's Kiko Martinez to become a two-time IBF featherweight champion.
What awaits Brittney Griner in Russian penal colony?,The US basketball player is being held in a remote jail 500km (310 miles) south-east of Moscow.
Bafta TV Awards 2022: The winners in full,Find out if your favourite TV programmes and actors have won a Bafta at Sunday's ceremony.
World Cup 2022: Lionel Messi and Diego Maradona's World Cup records compared,"Lionel Messi seeks to emulate Diego Maradona by winning the World Cup with Argentina, but how does their influence compare in their runs to the final?"
Bus funeral procession for Manchester veteran driver,Harry Winstanley is transported to his final resting place on board on the last bus he drove.
Tintagel among castles at risk from climate change,"Rising sea levels are threatening ancient castles and forts at an accelerating rate, says English Heritage."
Joe Lycett asked to explain comedy show joke to police,Joe Lycett says an audience member complained to the police about a joke in a recent show.
Quadriplegic cerebral palsy: Mum sees son walk for first time,"Thanks to a new machine bought by his school, Jacob has stood up and moved his legs for the first time."
Match of the Day Top 10: Gary Lineker relives Barcelona hat-trick against Real Madrid,Gary Lineker explains why the referee refused to give away the El Clasico match ball as he relives his hat-trick against Real Madrid.
London Luton Airport: Government to hold inquiry into growth plan,The communities secretary calls in a council's decision to approve Luton Airport's expansion plan.
Car-charging and dog hotels: Seven perks to lure you to the office,Companies are trying a variety of incentives to lure staff back to the office.
What is the windfall tax on oil and gas companies?,The government has extended the windfall tax on oil and gas companies.
Is there a hosepipe ban in my area?,"A hosepipe ban is being introduced for some areas, but what about the rest of the UK?"
University staff plan 18 new days of strikes,"The University and College Union said the ""the clock is ticking"" for a deal to be reached over pay."
Halloween: Pig-headed butcher leads scares at Aberdare house,One family spends six months turning their home into a must-see Halloween attraction.
Wrexham: Man dies after being bitten by dog at house,Police say the dog was put down by a vet at the scene of the attack.
Maxi Jazz: Tributes hail Faithless singer as an 'incredible talent',"Dutch trance legend Armin van Buuren hopes the London singer's music keeps on ""inspiring others""."
Afghanistan: Women’s faces become latest Taliban restriction after face veil rule,"“They are always after women” rather than tackling Afghanistan’s many problems, one activist told the BBC."
"Ukraine war: My nights are peaceful at last, after trauma of air raids","Nika survived the Russian assault on Kharkiv earlier this year, and is now settled in the UK."
Full lunar eclipse to bring super blood Moon,The Moon will slowly darken and turn red as it falls into Earth's shadow.
Scottish island of Pladda on sale for price of a city flat,"Pladda off the coast of Arran is on sale for £350,000 and includes a five-bed house and helipad."
Keely Hodgkinson 'expecting more of herself' in Eugene,British Olympic silver medallist Keely Hodgkinson says she wants to be a dominant force on the Diamond League circuit this season.
Six Nations: Uini Atonio banned for dangerous tackle on Rob Herring,Six Nations Rugby Special's John Barclay and Jonathan Davies analyse a tackle by Uini Atonio on Ireland's Rob Herring that earned the French prop a three-match ban.
Ukraine war: Nurse who lost her legs has first dance with husband in hospital,"Oksana lost her legs, and four fingers, in a landmine explosion when returning home."
"Scottie Scheffler wins Players Championship at Sawgrass, Tyrrell Hatton second",American Scottie Scheffler will return to the top of the world rankings after winning the Players Championship by five shots from England's Tyrrell Hatton.
"In one of the poorest slums in Argentina, families rely on a huge landfill site for food.","In one of the poorest slums in Argentina, hundreds of families rely on a huge landfill site to feed their children."
Liz Truss resigns: Race kicks off to find her successor within a week,"Candidates have yet to declare, but Chancellor Jeremy Hunt and Michael Gove rule themselves out."
Bristol longboarding group 'a blessing' during lockdown,Bristol Girls Longboard is a community of women and non-binary people who meet to practise longboarding.
Week in pictures: 29 October - 4 November 2022,"A selection of powerful images from all over the globe, taken in the past seven days."
Free childcare plan: 'Why do we have to wait?',"Eligible under-5s will get 30 hours free care from September 2025, but some fear this is too far off."
Trespasser causes severe rail disruption for partygoers,Services to and from London Kings Cross were brought to a standstill after a trespasser got on the tracks.
DR Congo: 'My life has changed thanks to coffee',"Some of the world's best beans come from an island in DR Congo, where ex-fighters get a second chance."
"Female dance acts largely ignored by radio, study says","Only 1% of dance music played on UK radio is by a female solo artist or band, a study suggests."
BBC unveils modernised flagship TV news studio,The upgraded set is revealed to viewers during Monday's BBC News at Ten.
Chelsea 2-2 Tottenham: Thomas Tuchel says 'match sucked me in' as he and Antonio Conte saw red,"Chelsea boss Thomas Tuchel admits ""this match sucked me in"" as he and Tottenham counterpart Antonio Conte both see red at Stamford Bridge."
German Masters: Ali Carter beats Tom Ford - with a bit of help from Whitney Houston,Ali Carter suggests that Whitney Houston inspired him to a first ranking title in seven years as he wins the German Masters.
Week in pictures: 5-11 March 2022,"A selection of powerful images from all over the globe, taken in the past seven days."
Uvalde school shooting: Embattled police chief is put on leave,Pete Arredondo has been much criticised for officers' 77-minute delay in confronting the teen gunman.
Former airline worker: 'It would be like going back to an ex',Three people who used to work in aviation up until the Covid pandemic discuss whether they would return to the industry.
David Beckham hands Instagram account to Ukrainian doctor,Ex-footballer says he wants to highlight work being done by medical professionals in the conflict.
Leah Croucher: The quiet teenager who vanished on her way to work,Leah Croucher went missing in February 2019 and mystery surrounds her disappearance.
Ukraine round-up: Mariupol civilians remain trapped and Russian oligarch decries 'massacre',A 91-year-old Holocaust survivor is named among city's reported dead and one of Russia's richest oligarchs decries the war as a 'massacre'.
AEK Larnaca 0-2 West Ham: Visitors close in on Europa Conference League quarter-finals,West Ham take a big step towards the quarter-finals of the Europa Conference League with a comfortable first-leg victory at AEK Larnaca.
Ukraine war: Allies seek more security at Zaporizhzhia nuclear plant,"Britain, France, Germany and the US stress the need for nuclear safety as fighting rages in Ukraine."
Transgender children: Texas plan to probe parents halted,Parents seeking gender transition for their children may not be investigated for so-called abuse.
Australia election: A simple guide,"Australians go to the polls on 21 May, for the country's first election since 2019."
Ukrainian President Volodymyr Zelensky addresses the Irish parliament,President of Ukraine Volodymyr Zelensky has thanked the people of Ireland for supporting his country.
Joe Cordina: Welshman wins IBF super-featherweight title,Joe Cordina becomes Wales' 13th world champion boxer as he stuns champion Kenichi Ogawa with a second-round knockout to take the IBF super-featherweight title.
What is the energy price cap and how high will bills go?,"Energy bills are set to rise sharply in October, when a new price cap is introduced."
Premiership: Northampton Saints 32-31 Harlequins - James Grayson penalty seals dramatic win,James Grayson's late penalty helps Northampton beat Harlequins to give Saints a great chance of making the Premiership play-offs.
Deborah James: Her passionate vision for the £6.8m she raised,How Dame Deborah's fundraising will help scientists find new ways to outwit cancer.
US midterms: How BBC's voter profiles were shown hate and disinformation online,The BBC's Marianna Spring investigates what voters are being recommended online at a turbulent time for US politics.
Why are Sri Lankans protesting in the streets?,Sri Lanka's worst economic crisis in 70 years has prompted mass protests against the government.
Grooming gangs and ethnicity: What does the evidence say?,Home Secretary Suella Braverman made several comments about the ethnicity of some high-profile gangs.
Piccadilly Circus: New screen to make landmark bolder and brighter,"A development company plans to erect a giant screen to show news, travel and advertisements."
Refugees in Wales: 'Thank God I came here after our home was bombed',The family house was destroyed and they lived in a tent but now they've settled in rural Wales.
Nasa's Orion spacecraft is homeward-bound,"The ship fires its main engine near the Moon, committing itself to a return to Earth on Sunday."
Anime: How Japanese animation has taken the West by storm,"Animated film Jujutsu Kaisen 0 is a surprise box office hit, as anime enjoys a new global popularity."
Samantha Cristoforetti: The astronaut taking TikTok to new heights,Samantha Cristoforetti has developed a huge following through her TikToks from on board the ISS.
"'Thank you, King' - Brazil lights up for Pele",Brazil begins its first day of mourning the late footballing legend as landmarks are lit up in tribute.
Masters: Scottie Scheffler wins first major as Rory McIlroy finishes second,World number one Scottie Scheffler cements his place at the top of the men's game by winning the 2022 Masters and clinching his first major title.
The Crown: Queen's friend says Netflix show 'makes me so angry',"Lady Glenconner, who was a maid of honour at the Queen's coronation, is herself portrayed on screen."
Hidden history of Scotland's biggest nuclear bunker,"The underground site, buried deep under an Edinburgh hill, has remained largely unknown."
Mum's warning after uterine cancer mistaken for periods,Kelly Pendry's symptoms were initially dismissed as normal post-pregnancy periods.
"French Open: Dan Evans & Cameron Norrie win at Roland Garros, Harriet Dart loses on debut","Britain's Dan Evans earns a first win at the French Open on his 32nd birthday, with Cameron Norrie also through to the second round."
Grandmother with Alzheimer's faces deportation from Sweden,"Bedridden Kathleen Poole faces a ""disgraceful"" attempt to deport her to the UK, her family say."
Hormone replacement therapy and menopause: What you need to know about HRT,"HRT can help with menopausal symptoms. If you're thinking about taking it, here's what you need to consider."
Women's World Cup: England set to face South Africa in semi-final,England will look to book a Women's World Cup final meeting with Australia when they play South Africa in the semi-final on Thursday.
Women's Footballer of the Year contender Alexia Putellas,"BBC Sport profiles Barcelona and Spain midfielder Alexia Putellas, one of five nominees for the BBC Women's Footballer of the Year 2022 award."
Welsh rugby crisis: WRU signs six-year deal with its four professional teams,A new six-year deal is agreed between the Welsh Rugby Union (WRU) and the nation's four professional teams.
Why asteroids are the next big prize in the space race,"As resources are depleted on Earth, many scientists suggest the asteroid belt could be mined instead."
"Garth Crooks' Team of the Week: De Gea, Foden, Saka, Ronaldo",Who is playing out of their skin and who redeemed himself in a classic? Find out in Garth Crooks' latest Team of the Week.
‘Newcastle starting to upset the big boys’ - Alan Shearer on Magpies' top-four hopes & win at Spurs,Match of the Day pundit Alan Shearer was not expecting his old side Newcastle to be in the Premier League top four after 12 games but says their results show they mean business.
'Why not have a disabled superhero in a Marvel movie?',Arthur Hughes is the first disabled actor to play Richard III - who had a bent spine - at the RSC.
Ukraine war: 'I had to stay below ground for more than 60 days',"Katerina spent more than two months beneath the besieged Azovstal steel plant in Mariupol, Ukraine."
Girls Aloud race for Sarah Harding in Hyde Park,Hundreds of people wore pink and ran around the London park in memory of Sarah Harding.
Roe v Wade: Biden calls for federal law to restore abortion rights,The order comes amid pressure on the US president to take more action to safeguard abortion access.
A mind-reading combat jet for the future,The Tempest fighter jet will have artificial intelligence tech to monitor and help the pilot.
England scoring record means everything - Kane,"Harry Kane describes becoming England's all-time top scorer with his 54th international goal against Italy as ""a magical moment""."
Donald Trump has been charged. What happens next?,Mr Trump's lawyers have vowed to try everything possible to get the case thrown out before trial.
Protests in Iran: State-run live TV hacked by protesters,A live news broadcast in Iran was interrupted by messages targeting the country's supreme leader.
Quiz of the week: Which Doctor Who companions will be back in the Tardis?,How closely have you been paying attention to what's been going on over the past seven days?
Six Nations 2023: Freddie Steward's red card against Ireland called 'an utter farce',"A red card given to England full-back Freddie Steward in Saturday's defeat by Grand Slam winners Ireland has been called ""an utter farce"" and ""absolutely ridiculous"" by former players."
Strep A: Penarth primary school child dies of disease,"Strep A is a highly contagious bacterial infection that can be extremely serious, but is treatable."
UK elections 2022: A really simple guide,"Local elections in England, Wales and Scotland, and a general election in Northern Ireland, will happen on 5 May."
Pensions: How are the lifetime and annual allowances changing?,"The lifetime limit on tax-free pensions savings will go, and some annual allowances will increase."
"Transfer rumours: Calvert-Lewin, Pogba, Lewandowski, Sterling, Guardiola, Rice","Newcastle make Dominic Calvert-Lewin their summer priority, Bayern Munich enter Pogba race, Lewandowski to Barca, plus more"
"Benjamin Mendy: Woman woke up with footballer raping her, court told","The woman told detectives she woke up to find the footballer on top of her, his trial hears."
"Brit Awards: Wet Leg, Rina Sawayama urge change over female nominees",Artists say conversations on female representation is important and action must take place.
Liege-Bastogne-Liege: Cycling's oldest spring classic celebrates 130 years of torture,"Liege-Bastogne-Liege rarely fails to test riders. In its 130th year, a legend of the race looks back on his most remarkable win."
John Travolta poses for photos in Norfolk Morrisons and Wetherspoon,The Hollywood star is filming a short movie in Norfolk and is seen out and about in the local area.
Covid: What happened to care homes early in the pandemic?,The publication of Matt Hancock's messages focuses attention on what happened in care homes during the pandemic.
Laver Cup: Andy Murray not planning Roger Federer-style farewell as Europe lose,"Andy Murray has not been spurred into planning his own send-off by Roger Federer's emotional farewell at the Laver Cup, which Team Europe lost in London."
Celtic ease by Dundee Utd into Scottish Cup last four,Giorgos Giakoumakis scores twice after Callum McGregor's opener as Celtic beat Dundee United to book their place in the semi-finals of the Scottish Cup.
"Student loans: How do they work, what can I borrow and when do I pay it back?","How do they work across the UK, what can I borrow and when do I have to start paying it back?"
Billie Eilish protests US abortion ruling at Glastonbury,"The 20-year-old calls the decision to end the constitutional right to abortion a ""dark day""."
Naga in fits of laughter at Charlie's Mars musings,BBC Breakfast host Naga Munchetty finds co-host Charlie Stayt's paper review highly amusing.
England v India: Harmanpreet Kaur hits masterful century to lead India to ODI series win,Harmanpreet Kaur hits a sublime 143 not out from 111 balls to guide India to an 88-run victory over England in the second one-day international at Canterbury.
Johnson on Partygate: We avoided physical contact but passed drinks,The former PM says Downing Street staff did not touch each other’s pens but passed drinks at events.
Stories from some of the last-surviving WW2 veterans,Three of the last generation of World War Two veterans share recollections of the deadliest war in history.
Frenkie de Jong: Manchester United contact Barcelona over midfielder,Manchester United contact Barcelona over the availability of Frenkie de Jong.
Dominic Raab: Third senior civil servant gives evidence to bullying probe,Deputy Prime Minister Dominic Raab is under investigation after being accused of bullying.
Highlights: Radacanu beats Uytvanck,Watch US Open champion Emma Radacanu's best moments as she beats Belgium's Alison van Uytvanck in her first appearance on Centre Court at Wimbledon.
In pictures: Mountain bikers descend snowy peak,About 300 daring riders made an Easter weekend descent of Aanoch Mor in the Highlands.
"Companies must help cut living costs, says new cost of living tsar","The government's new cost of living tsar says he wants ""old friends and colleagues... to help the British people""."
"Beware online car sale scams, consumers warned","A fake car dealership website defrauded victims out of thousands of pounds, BBC investigation finds."
